index,date,tthm,samples,nondetects,min,max
0,2009-02-25,34.38,8,0,32.0,39.0
1,2008-12-22,39.33,9,0,31.0,46.0
2,2008-09-25,108.63,8,0,85.0,120.0
3,2008-05-14,88.0,8,0,75.0,94.0
4,2008-04-14,81.0,2,0,81.0,81.0
5,2008-02-13,49.25,8,0,26.0,68.0
6,2007-09-19,75.0,6,0,70.0,80.0
7,2007-06-27,82.86,7,0,70.0,90.0
8,2007-06-26,85.0,8,0,80.0,90.0
9,2007-06-21,86.6,4,0,82.0,92.0
10,2007-06-19,70.0,4,0,70.0,70.0
11,2007-05-15,81.0,4,0,71.0,87.0
12,2007-02-28,17.46,4,0,14.44,20.47
13,2007-02-27,50.0,6,0,50.0,50.0
14,2006-12-13,70.5,4,0,67.0,74.0
15,2006-05-22,58.38,8,0,55.0,61.0
16,2006-02-23,35.3,10,0,31.0,41.0
17,2005-12-05,45.0,10,0,30.0,60.0
18,2005-09-19,53.0,10,0,50.0,60.0
19,2005-06-15,38.75,8,0,30.0,40.0
20,2005-05-19,38.0,10,0,30.0,60.0
21,2005-02-28,31.69,4,0,25.74,37.64
22,2005-02-14,49.0,10,0,30.0,70.0
23,2004-12-07,34.0,10,0,20.0,60.0
24,2004-09-14,44.0,10,1,0.0,90.0
25,2004-05-12,50.0,10,0,40.0,60.0
26,2004-03-22,23.54,4,0,17.79,29.29
27,2004-02-19,35.0,10,0,20.0,50.0
